year,aqi
1964,68.07926829268293
1965,77.08152173913044
1966,83.72932330827068
1967,60.8212389380531
1968,61.76231884057971
1969,43.367924528301884
1970,45.958174904942965
1971,55.18147448015123
1972,57.395833333333336
1973,46.17342342342342
1974,104.98021308980213
1975,105.459724683113
1976,89.83511813700493
1977,93.5391393442623
1978,106.02028015889609
1979,108.87163814180929
1980,103.07044522554189
1981,108.30590920009608
1982,87.79922351636162
1983,96.89069331667707
1984,99.91096314648497
1985,100.68368975422918
1986,97.20633116883117
1987,92.53608397725615
1988,93.9587915407855
1989,86.01537544696066
1990,82.89352148813342
1991,89.16371741186006
1992,84.69000379122963
1993,78.10368020304568
1994,79.24734395750332
1995,72.41424619640387
1996,68.81572904707232
1997,63.432432432432435
1998,71.47932175351531
1999,66.99746158984635
2000,64.778413736713
2001,64.7395749260156
2002,66.47745529930033
2003,70.00024476808224
2004,63.78780162483327
2005,63.2547685578909
2006,62.14374034003091
2007,61.423216293889794
2008,62.50948255677827
2009,56.29362880886426
2010,54.511078453538325
2011,54.748537313432834
2012,58.6804741110418
2013,52.41733333333333
2014,51.95977549111319
2015,47.27192055778576
2016,50.9675292728525
2017,52.65941187850648
2018,53.498817034700316
2019,49.80024152158599
2020,56.859782927544735
2021,52.73266321453955
2022,52.98142587031476
2023,51.102095845079056
